";;;;;;;;;;""CAMPEONATO PARAGUAYO - HOMENAJE A DON RODOLFO """"RUDY"""" HIEBL"";;;;;;;;;;;;;";;;;;;;;;;;;;;;;;;;;;
;;;;;;;;13 y 14 de NOVIEMBRE de 2021 - BAHIA DE ASUNCION;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
OR;;bote;categoria;sexo;;carril 1;;;carril 2;;;carril 3;;;carril 4;;;carril 5;;;carril 6
;;;;;----------------;-----------------------------;;----------------;-----------------------------;;----------------;-----------------------------;;----------------;-----------------------------;;----------------;-----------------------------;;----------------;-----------------------------
14;;2-;SENIOR;FEM;PUESTO;SAJONIA A;;PUESTO;SAJONIA B;;PUESTO;;;PUESTO;;;PUESTO;;;PUESTO;
;;;;;S;ROCIO RIVAROLA;;S;ELIANA SOSA ;;S;;;S;;;S;;;S;
;;;;;B;FLORENCIA LOPEZ ;;B;KARINA CENTURION ;;B;;;B;;;B;;;B;
;;;;;Suplente;;;Suplente;;;Suplente;;;Suplente;;;Suplente;;;Suplente;
;;;;;----------------;-----------------------------;;----------------;-----------------------------;;----------------;-----------------------------;;----------------;-----------------------------;;----------------;-----------------------------;;----------------;-----------------------------
15;;1X;MENOR A;FEM;PUESTO;SAJONIA A;;PUESTO;MBIGUA;;PUESTO;PDRS A;;PUESTO;PACU CUA;;PUESTO;PDRS B;;PUESTO;SAJONIA B
;;;;;S;LUCIANA AVALOS ;;S;CAMILA RECALDE;;S;LUCIA MARTINEZ;;S;TATIANA KISSER;;S;AMBER LEIVA;;S;JASMIIN ALVARES 
;;;;;Suplente;;;Suplente;;;Suplente;;;Suplente;;;Suplente;;;Suplente;
;;;;;----------------;-----------------------------;;----------------;-----------------------------;;----------------;-----------------------------;;----------------;-----------------------------;;----------------;-----------------------------;;----------------;-----------------------------
16;;4-;ABIERTO;MAS;PUESTO;MBIGUA;;PUESTO;PDRS;;PUESTO;SAJONIA;;PUESTO;;;PUESTO;;;PUESTO;
;;;;;S;GABRIEL PORTILLO;;S;NICOLAS VILLALBA;;S;FRANCO CHIOLA ;;S;;;S;;;S;
;;;;;3;IVAN ESTIGARRIBIA;;3;ARTURO RIVAROLA;;3;JAVIER INFRAN ;;3;;;3;;;3;
;;;;;2;SANTINO ORTEGA;;2;NICOLAS INVERNIZZI;;2;GUSTAVO AVALOS ;;2;;;2;;;2;
;;;;;1;GUALBERTO CARDENAS;;1;HANS DUARTE;;1;MATIAS RAMIREZ ;;1;;;1;;;1;
;;;;;Suplente 1;GUILLERMO FELTES;;Suplente 1;NICOLAS BERGER;;Suplente 1;OSCAR MATIUDA ;;Suplente 1;;;Suplente 1;;;Suplente 1;
;;;;;Suplente 2;ANTHONY MADAMS;;Suplente 2;GIANCARLOS OREGGIONI;;Suplente 2;ALEJANDRO CAMACHO ;;Suplente 2;;;Suplente 2;;;Suplente 2;
;;;;;----------------;-----------------------------;;----------------;-----------------------------;;----------------;-----------------------------;;----------------;-----------------------------;;----------------;-----------------------------;;----------------;-----------------------------
17;;8+.;ABIERTO;FEM;PUESTO;SAJONIA;;PUESTO;;;PUESTO;;;PUESTO;;;PUESTO;;;PUESTO;
;;;;;S;ROCIO RIVAROLA;;S;;;S;;;S;;;S;;;S;
;;;;;7;FLORENCIA LOPEZ ;;7;;;7;;;7;;;7;;;7;
;;;;;6;GABRIELA MOSQUEIRA;;6;;;6;;;6;;;6;;;6;
;;;;;5;KARINA CENTURION ;;5;;;5;;;5;;;5;;;5;
;;;;;4;AHILIN SANABRIA ;;4;;;4;;;4;;;4;;;4;
;;;;;3;ROCIO RIVAROLA;;3;;;3;;;3;;;3;;;3;
;;;;;2;ELIANA SOSA ;;2;;;2;;;2;;;2;;;2;
;;;;;B;FIORELA RODRIGUEZ ;;B;;;B;;;B;;;B;;;B;
;;;;;TIM;IVANNA SOSA ;;TIM;;;TIM;;;TIM;;;TIM;;;TIM;
;;;;;Suplente;GABRIELA LOPEZ ;;Suplente;;;Suplente;;;Suplente;;;Suplente;;;Suplente;
;;;;;Suplente;;;Suplente;;;Suplente;;;Suplente;;;Suplente;;;Suplente;
;;;;;Suplente;;;Suplente;;;Suplente;;;Suplente;;;Suplente;;;Suplente;
;;;;;Suplente;;;Suplente;;;Suplente;;;Suplente;;;Suplente;;;Suplente;
;;;;;Suplente;;;Suplente;;;Suplente;;;Suplente;;;Suplente;;;Suplente;
;;;;;----------------;-----------------------------;;----------------;-----------------------------;;----------------;-----------------------------;;----------------;-----------------------------;;----------------;-----------------------------;;----------------;-----------------------------
18;;8+.;ABIERTO;FEM;PUESTO;PDRS;;PUESTO;SAJONIA;;PUESTO;;;PUESTO;;;PUESTO;;;PUESTO;
;;;;;S;NICOLAS VILLALBA;;S;FRANCO CHIOLA ;;S;;;S;;;S;;;S;
;;;;;7;DANIEL VILLALBA;;7;JAVIER INFRAN ;;7;;;7;;;7;;;7;
;;;;;6;NICOLAS INVERNIZZI;;6;GUSTAVO AVALOS ;;6;;;6;;;6;;;6;
;;;;;5;ARTURO RIVAROLA;;5;OSCAR MATIUDA ;;5;;;5;;;5;;;5;
;;;;;4;RODRIGO YANHO;;4;ALEJANDRO CAMACHO ;;4;;;4;;;4;;;4;
;;;;;3;GIANCARLOS OREGGIONI;;3;RODRIGO AMARILLA;;3;;;3;;;3;;;3;
;;;;;2;HANS DUARTE;;2;JUAN NOGUERA ;;2;;;2;;;2;;;2;
;;;;;B;PABLO SEITZ;;B;AGUSTIN BENITEZ ;;B;;;B;;;B;;;B;
;;;;;TIM;GIANELLA RODRIGUEZ;;TIM;ELIANA SOSA ;;TIM;;;TIM;;;TIM;;;TIM;
;;;;;Suplente;NICOLAS BERGER;;Suplente;OSCAR SANTOS ;;Suplente;;;Suplente;;;Suplente;;;Suplente;
;;;;;Suplente;GUILLERMO FLEITAS;;Suplente;;;Suplente;;;Suplente;;;Suplente;;;Suplente;
;;;;;Suplente;;;Suplente;;;Suplente;;;Suplente;;;Suplente;;;Suplente;
;;;;;Suplente;;;Suplente;;;Suplente;;;Suplente;;;Suplente;;;Suplente;
;;;;;Suplente;;;Suplente;;;Suplente;;;Suplente;;;Suplente;;;Suplente;
